"No.","Time","Source","Destination","Protocol","Length","TCP Segment Len","Sequence number","Info"
"208","0.044657","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=86297 Ack=1 Win=131072 Len=536 TSval=2050 TSecr=2044"
"209","0.044709","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=86833 Ack=1 Win=131072 Len=536 TSval=2050 TSecr=2044"
"210","0.044761","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=87369 Ack=1 Win=131072 Len=536 TSval=2050 TSecr=2044"
"212","0.044864","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=87905 Ack=1 Win=131072 Len=536 TSval=2050 TSecr=2044"
"213","0.044914","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=88441 Ack=1 Win=131072 Len=536 TSval=2050 TSecr=2044"
"214","0.044966","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=88977 Ack=1 Win=131072 Len=536 TSval=2050 TSecr=2044"
"215","0.045017","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=89513 Ack=1 Win=131072 Len=536 TSval=2050 TSecr=2044"
"217","0.045435","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=90049 Ack=1 Win=131072 Len=536 TSval=2051 TSecr=2044"
"218","0.045486","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=90585 Ack=1 Win=131072 Len=536 TSval=2051 TSecr=2044"
"219","0.045537","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=91121 Ack=1 Win=131072 Len=536 TSval=2051 TSecr=2044"
"220","0.045590","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=91657 Ack=1 Win=131072 Len=536 TSval=2051 TSecr=2044"
"222","0.045739","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=92193 Ack=1 Win=131072 Len=536 TSval=2051 TSecr=2044"
"223","0.045789","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=92729 Ack=1 Win=131072 Len=536 TSval=2051 TSecr=2044"
"224","0.045841","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=93265 Ack=1 Win=131072 Len=536 TSval=2051 TSecr=2044"
"225","0.045892","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=93801 Ack=1 Win=131072 Len=536 TSval=2051 TSecr=2044"
"227","0.046017","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=94337 Ack=1 Win=131072 Len=536 TSval=2052 TSecr=2044"
"229","0.046076","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=94873 Ack=1 Win=131072 Len=536 TSval=2052 TSecr=2044"
"230","0.046127","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=95409 Ack=1 Win=131072 Len=536 TSval=2052 TSecr=2044"
"231","0.046180","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=95945 Ack=1 Win=131072 Len=536 TSval=2052 TSecr=2044"
"232","0.046231","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=96481 Ack=1 Win=131072 Len=536 TSval=2052 TSecr=2045"
"233","0.046283","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=97017 Ack=1 Win=131072 Len=536 TSval=2052 TSecr=2045"
"234","0.046335","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=97553 Ack=1 Win=131072 Len=536 TSval=2052 TSecr=2045"
"235","0.046387","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=98089 Ack=1 Win=131072 Len=536 TSval=2052 TSecr=2045"
"237","0.046969","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=98625 Ack=1 Win=131072 Len=536 TSval=2052 TSecr=2045"
"238","0.047019","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=99161 Ack=1 Win=131072 Len=536 TSval=2052 TSecr=2045"
"239","0.047071","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=99697 Ack=1 Win=131072 Len=536 TSval=2052 TSecr=2045"
"240","0.047124","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=100233 Ack=1 Win=131072 Len=536 TSval=2052 TSecr=2045"
"242","0.047315","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=100769 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"243","0.047366","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=101305 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"244","0.047417","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=101841 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"245","0.047468","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=102377 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"247","0.047549","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=102913 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"279","0.047915","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=103449 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"280","0.047967","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=103985 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"281","0.048018","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=104521 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"282","0.048069","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=105057 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"283","0.048122","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=105593 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"284","0.048173","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=106129 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"285","0.048226","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=106665 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"286","0.048278","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=107201 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"287","0.048330","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=107737 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"288","0.048382","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=108273 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"289","0.048435","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=108809 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"292","0.048516","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=109345 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"293","0.048568","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=109881 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"294","0.048620","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=110417 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"295","0.048672","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=110953 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"296","0.048724","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=111489 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"297","0.048775","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=112025 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"298","0.048828","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=112561 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"299","0.048880","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=113097 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2045"
"300","0.048931","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=113633 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"301","0.048984","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=114169 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"302","0.049035","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=114705 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"303","0.049088","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=115241 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"304","0.049140","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=115777 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"305","0.049192","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=116313 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"306","0.049244","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=116849 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"307","0.049296","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=117385 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"308","0.049347","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=117921 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"309","0.049399","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=118457 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"310","0.049452","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=118993 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"311","0.049503","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=119529 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"312","0.049555","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=120065 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"313","0.049607","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=120601 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"314","0.049659","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=121137 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"315","0.049710","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=121673 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"316","0.049762","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=122209 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"317","0.049813","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=122745 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"318","0.049865","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=123281 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"319","0.049918","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=123817 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2046"
"320","0.049969","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=124353 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2047"
"321","0.050021","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=124889 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2047"
"322","0.050073","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=125425 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2047"
"323","0.050125","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=125961 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2047"
"324","0.050177","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=126497 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2047"
"325","0.050228","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=127033 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2047"
"326","0.050281","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=127569 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2047"
"327","0.050333","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=128105 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2047"
"328","0.050385","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=128641 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2047"
"329","0.050436","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=129177 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2047"
"330","0.050488","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=129713 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2047"
"331","0.050540","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=130249 Ack=1 Win=131072 Len=536 TSval=2053 TSecr=2047"
"332","0.050592","169.1.4.3","169.1.3.2","TCP","358","288","","49153  >  69 [ACK] Seq=130785 Ack=1 Win=131072 Len=288 TSval=2053 TSecr=2047"
"377","7.996028","169.1.4.3","169.1.3.2","TCP","70","0","","49153  >  69 [ACK] Seq=131073 Ack=2 Win=131072 Len=0 TSval=10002 TSecr=10000"
